"idx","feature_id","from","to","lon","lat","alt","order","Qi","MusK","MusX","Length","n","So","ChSlp","BtmWdth","NHDWaterbodyComID","time","site_no","Kchan","ascendingIndex","nCC","TopWdthCC","TopWdth"
2145914,4726307,0,4726305,-76.18622589111328,39.6178092956543,17.260000228881836,4,0.0,3600.0,0.20000000298023224,1363.0,0.054999999701976776,0.003000000026077032,0.31746020913124084,11.473036766052246,-9999,"2000-01-01 00:00:00","01580520",0,288399,0.10999999940395355,57.36518096923828,19.121726989746094
2146031,22297114,0,22297146,-74.27848052978516,43.35240173339844,283.5400085449219,5,0.0,3600.0,0.20000000298023224,2610.0,0.05000000074505806,0.00800000037997961,0.2696739733219147,16.606277465820312,-9999,"2000-01-01 00:00:00","01321000",0,296279,0.10000000149011612,83.03138732910156,27.677127838134766
2146085,5893170,0,5893312,-78.04193878173828,39.50700378417969,130.8699951171875,4,0.0,3600.0,0.20000000298023224,1936.0,0.054999999701976776,0.0020000000949949026,0.301034152507782,12.941311836242676,-9999,"2000-01-01 00:00:00","01614000",0,281996,0.10999999940395355,64.70655822753906,21.5688533782959
2146159,9422095,0,9422103,-76.15558624267578,42.5945930480957,329.8800048828125,5,0.0,3600.0,0.20000000298023224,2525.0,0.05000000074505806,9.999999747378752e-06,0.2905271351337433,14.026552200317383,-9999,"2000-01-01 00:00:00","01509000",0,288420,0.10000000149011612,70.13275909423828,23.377586364746094
2146207,1752137,0,1752143,-75.17401885986328,41.97413635253906,292.9599914550781,5,0.0,3600.0,0.20000000298023224,2179.0,0.05000000074505806,0.003000000026077032,0.2511747479438782,19.508708953857422,-9999,"2000-01-01 00:00:00","01421000",0,319189,0.10000000149011612,97.54354858398438,32.5145149230957
2146420,5894384,0,5894362,-77.93683624267578,39.415836334228516,111.41999816894531,4,0.0,3600.0,0.20000000298023224,2660.0,0.054999999701976776,0.0010000000474974513,0.2943882644176483,13.613015174865723,-9999,"2000-01-01 00:00:00","01616500",0,271020,0.10999999940395355,68.06507873535156,22.688358306884766
2146532,22741637,0,22745965,-74.74104309082031,43.01237106323242,146.30999755859375,4,0.0,3600.0,0.20000000298023224,2833.0,0.054999999701976776,0.01899999938905239,0.29121270775794983,13.951813697814941,-9999,"2000-01-01 00:00:00","01348000",0,243983,0.10999999940395355,69.75907135009766,23.253023147583008
2146557,4652052,0,4655352,-75.5965805053711,39.86452865600586,47.84000015258789,5,0.0,3600.0,0.20000000298023224,1405.0,0.05000000074505806,0.0010000000474974513,0.2912537157535553,13.947362899780273,-9999,"2000-01-01 00:00:00","01481000",0,282031,0.10000000149011612,69.73681640625,23.24560546875
2146567,4709484,0,4709474,-76.88529968261719,40.21425247192383,97.08999633789062,4,0.0,3600.0,0.20000000298023224,4910.0,0.054999999701976776,0.0010000000474974513,0.3050258457660675,12.560620307922363,-9999,"2000-01-01 00:00:00","01571500",0,243990,0.10999999940395355,62.803104400634766,20.934368133544922
2146592,6250624,0,6249576,-74.026611328125,40.94931411743164,1.5299999713897705,4,0.0,3600.0,0.20000000298023224,170.0,0.054999999701976776,9.999999747378752e-06,0.3360069692134857,10.087526321411133,-9999,"2000-01-01 00:00:00","01378500",0,311700,0.10999999940395355,50.43762969970703,16.812543869018555
