"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
4239000,"ONDN6",21979277,4.5,5.0,5.5,6.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=ondn6",1171.36,1576.18,2069.23,2639.64,32.79808,44.13304,57.93844,73.90992
5500000,"TAYM7",4989635,7.0,9.5,14.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=taym7",3173.24,5889.7,11913.87,20533.81,88.85072,164.9116,333.58836,574.94668
7180400,"FLRK1",20920589,20.0,22.0,27.0,32.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ict&gage=flrk1",8348.5,9740.89,31674.01,"",233.758,272.74492,886.8722799999999,""
7308500,"BKBT2",13971012,7.0,9.0,12.0,14.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=bkbt2",3479.76,12564.01,52511.82,106258.55,97.43328000000001,351.79228,1470.33096,2975.2394
4202000,"HRPO1",15587398,5.0,7.0,8.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=cle&gage=hrpo1",1683.95,2913.32,3597.01,"",47.150600000000004,81.57296000000001,100.71628000000001,""
7363000,"BTNA4",21920889,17.0,18.0,24.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lzk&gage=btna4",16287.27,18869.58,43603.47,59315.63,456.04356,528.34824,1220.89716,1660.83764
7301410,"KTNT2",13754363,11.0,18.0,19.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=ama&gage=ktnt2",293.82,"","","",8.22696,"","",""
6844500,"ORNN1",19043513,8.0,9.0,11.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=ornn1",2678.17,3673.95,6459.07,10670.0,74.98876,102.8706,180.85396,298.76
4215000,"LCSN6",15574737,6.0,8.0,10.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=buf&gage=lcsn6",1590.84,4598.53,8756.49,"",44.54352,128.75884,245.18172,""
4115000,"MRPM4",12231858,7.0,9.0,11.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=mrpm4",490.2,1878.08,8900.0,"",13.7256,52.58624,249.20000000000002,""
